country,year,avg_temp_c,min_temp_c,max_temp_c,capital_lat,capital_lng,co2_per_capita,Code,Cap_density
Afghanistan,1898,5.5,,,34.526011,69.177684,,,
Afghanistan,1899,8.513218390804598,,,34.526011,69.177684,,,
Afghanistan,1900,9.410555555555556,,,34.526011,69.177684,,,
Afghanistan,1901,9.162011173184357,,,34.526011,69.177684,,,
Afghanistan,1902,8.58958904109589,,,34.526011,69.177684,,,
Afghanistan,1903,7.483561643835617,,,34.526011,69.177684,,,
Afghanistan,1904,9.831762295081967,3.1598360655737703,19.741803278688526,34.526011,69.177684,,,
Afghanistan,1905,11.560627177700349,6.161602209944752,24.021472392638035,34.526011,69.177684,,,
Afghanistan,1906,13.896976241900648,6.426315789473684,21.73724832214765,34.526011,69.177684,,,
Afghanistan,1907,10.67811387900356,5.641946308724832,21.481931464174455,34.526011,69.177684,,,
Afghanistan,1908,12.427574750830564,6.459104477611941,22.49044776119403,34.526011,69.177684,,,
Afghanistan,1909,9.529201101928374,,,34.526011,69.177684,,,
Afghanistan,1910,8.278787878787877,10.7,26.5,34.526011,69.177684,,,
Afghanistan,1911,11.591910739191073,,,34.526011,69.177684,,,
Afghanistan,1912,11.043581081081081,,,34.526011,69.177684,,,
Afghanistan,1913,9.54700704225352,5.395081967213115,21.44344262295082,34.526011,69.177684,,,
Afghanistan,1914,12.671095890410959,5.144505494505494,20.639828080229226,34.526011,69.177684,,,
Afghanistan,1915,13.572054794520549,6.144246575342466,22.99388379204893,34.526011,69.177684,,,
Afghanistan,1916,12.084562841530055,4.9148907103825135,20.041084165477887,34.526011,69.177684,,,
Afghanistan,1917,13.081974248927038,5.955112651646447,21.68890814558059,34.526011,69.177684,,,
Afghanistan,1918,17.336666666666666,8.420664206642066,,34.526011,69.177684,,,
Afghanistan,1921,17.71639344262295,6.780921052631579,23.93026315789474,34.526011,69.177684,,,
Afghanistan,1922,17.319615384615386,8.35977011494253,24.345384615384617,34.526011,69.177684,,,
Afghanistan,1923,9.649425287356323,5.120748299319728,22.855183946488292,34.526011,69.177684,,,
Afghanistan,1924,12.112827225130891,3.5443181818181815,22.501123595505618,34.526011,69.177684,,,
Afghanistan,1925,13.061006289308175,2.6854636591478696,24.016374269005848,34.526011,69.177684,,,
Afghanistan,1926,12.12047781569966,1.7474999999999998,14.503333333333334,34.526011,69.177684,,,
Afghanistan,1927,13.521546961325967,7.2682215743440235,24.250728862973762,34.526011,69.177684,,,
Afghanistan,1928,14.191256830601093,6.296994535519125,21.737978142076503,34.526011,69.177684,,,
Afghanistan,1929,13.20087912087912,6.505411764705883,21.229176470588236,34.526011,69.177684,,,
Afghanistan,1930,10.812827586206897,4.326802507836991,19.846875,34.526011,69.177684,,,
Afghanistan,1931,11.069368131868131,4.695747599451303,17.85061728395062,34.526011,69.177684,,,
Afghanistan,1932,11.289554317548745,4.616434540389972,18.356963788300835,34.526011,69.177684,,,
Afghanistan,1933,11.605316973415134,4.403680981595092,19.2041928721174,34.526011,69.177684,,,
Afghanistan,1934,10.913930348258708,3.794881170018282,18.14066317626527,34.526011,69.177684,,,
Afghanistan,1935,10.448643410852712,3.4560077519379844,17.510852713178295,34.526011,69.177684,,,
Afghanistan,1936,12.722474226804122,5.758704453441296,20.44655870445344,34.526011,69.177684,,,
Afghanistan,1937,11.495994277539342,5.075536480686695,18.848211731044348,34.526011,69.177684,,,
